session_pitch,max_shoulder_external_rotation,time_max_shoulder_external_rotation,max_elbow_extension,time_max_elbow_extension,max_hip_shoulder_separation,time_max_hip_shoulder_separation
2753_2,176.4702,1.4278,21.2539,1.5417,23.302,1.2972
2753_3,174.8413,1.7111,17.8041,1.9278,25.7115,1.5778
2753_4,175.5093,1.5556,19.7442,1.6694,22.9046,1.4306
2753_5,177.5316,1.5028,17.9568,1.6222,23.3818,1.3778
2760_1,153.5178,1.3444,26.2795,1.0222,20.3609,1.2278
2760_2,155.5062,1.0833,25.8673,0.7694,22.6467,0.9694
2760_3,152.0976,1.2694,26.1975,0.9556,20.6227,1.1556
2760_4,155.4616,1.1667,24.9331,0.8528,21.3596,1.0472
2760_5,158.8112,1.1667,26.002,0.8472,22.016,1.0528
2761_2,166.276,1.3833,25.3977,1.4194,18.9286,1.2667
2761_3,166.7454,1.4528,23.8483,1.4861,22.1352,1.3361
2761_4,164.8812,1.625,23.9805,1.6611,19.4437,1.5056
2761_5,166.7919,1.4833,24.9473,1.5167,19.1038,1.3611
2806_1,150.2214,1.0611,26.9996,1.0944,23.0541,0.9139
2806_2,150.4431,1.0778,25.5617,1.1083,23.8995,0.9306
2806_3,152.4615,1.0556,26.0651,1.0889,23.3644,0.9111
2806_4,153.5522,0.9917,25.7478,1.0222,21.1409,0.8417
2806_5,151.4551,0.9861,25.5529,1.0194,21.5764,0.8333
2811_1,170.0122,1.8694,33.8226,1.9861,44.8331,1.7417
2811_2,168.5546,1.6639,34.9534,1.7,44.8,1.5333
2811_3,172.5139,1.675,35.3208,1.7111,43.1511,1.5417
2811_4,169.4314,1.775,33.4176,1.8806,45.4415,1.6361
2811_5,168.5174,1.5833,27.6648,1.7,45.244,1.4472
2812_1,184.3862,1.45,10.0676,1.5389,40.0662,1.3083
2812_2,188.2746,1.225,15.2111,1.325,37.923,1.0861
2812_3,185.1408,1.3306,5.3555,1.425,39.4482,1.1917
2812_4,188.2354,1.3667,5.5221,1.4583,40.4509,1.2194
2812_5,185.5782,1.225,5.092,1.3194,37.1323,1.0778
2815_1,175.7709,1.7278,30.1849,1.825,27.5379,1.5667
2815_2,178.3489,1.6194,29.2958,1.7833,27.6876,1.4694
2815_3,176.5604,1.6528,31.4319,1.75,28.1775,1.4917
2815_4,175.772,1.6472,28.2133,1.7444,24.986,1.4972
2815_5,176.737,1.7778,30.4491,1.875,26.9453,1.6222
2818_1,168.459,1.35,38.4547,1.4556,30.4853,1.2056
2818_2,171.8634,1.2111,38.3036,1.2417,32.155,1.0639
2818_3,172.5894,1.2028,39.2342,1.3083,31.9776,1.0583
2818_4,171.6065,1.1972,37.2942,1.3028,33.5466,1.0528
2818_5,170.9315,1.2778,37.9712,1.3111,33.3839,1.1361
2833_1,180.389,1.2583,30.1059,1.3972,34.1953,1.1222
2833_2,181.3012,1.1806,27.9812,1.3194,35.307,1.0417
2833_3,178.7821,1.175,32.6191,1.3167,36.7383,1.0361
2833_4,182.045,1.3111,31.7146,1.4583,34.2301,1.175
2833_5,182.6002,1.4583,29.857,1.6028,36.9466,1.3222
2840_1,171.2603,1.4139,10.8701,1.1056,23.3714,1.2889
2840_2,172.2012,1.5194,10.0639,1.2278,22.9778,1.3889
2840_4,168.7848,1.5972,11.7621,1.2833,21.8871,1.4639
2840_5,171.4894,1.5694,10.6426,1.2667,21.0008,1.4361
2843_1,159.2278,1.2389,28.7837,1.3333,42.232,1.1194
2843_2,160.0375,1.0722,24.4762,1.1667,41.8221,0.95
2843_3,161.6376,1.1611,28.1699,1.2583,40.8374,1.0444
2843_4,159.4257,1.1333,26.5775,1.2278,42.7919,1.0139
2843_5,162.7735,1.1167,26.1284,1.2139,42.1508,0.9944
2853_1,168.1457,1.4417,22.0412,1.1361,27.9832,1.3083
2853_3,166.9678,1.6306,20.6343,1.325,27.1646,1.4944
2853_4,168.8758,1.3,17.8095,1.0028,28.6262,1.1639
2853_5,169.1512,1.5028,18.611,1.2028,27.3403,1.3694
2857_1,163.8245,1.4778,16.6769,1.5778,42.5266,1.3583
2857_2,163.5543,1.5361,12.6729,1.6361,38.8032,1.4278
2857_3,159.3317,1.3583,12.1717,1.4639,41.6529,1.2444
2857_4,165.281,1.3194,15.781,1.4167,40.6763,1.2056
2857_5,162.4396,1.4444,14.9715,1.5417,37.8624,1.3417
2859_1,173.9064,1.4444,22.1044,1.5472,35.5464,1.325
2859_2,176.6205,1.5278,23.4664,1.6306,36.8295,1.4056
2859_3,173.8363,1.5111,25.038,1.6472,34.816,1.3944
2859_4,173.9812,1.4306,23.5225,1.5389,35.9832,1.3139
2859_5,178.3831,1.4333,22.4315,1.5333,35.3756,1.3111
2860_1,177.171,1.5944,28.6237,1.3083,33.5995,1.475
2860_2,176.4108,1.6417,29.3178,1.3528,33.538,1.525
2860_3,176.5274,1.6306,28.4458,1.3417,33.5635,1.5111
2860_5,176.5329,1.6528,27.8445,1.3639,34.0155,1.5333
2861_1,178.3263,1.8861,26.4159,1.6,47.5996,1.7667
2861_2,176.3369,1.425,21.1329,1.1278,49.5932,1.3111
2861_3,179.4901,1.5194,29.5187,1.6278,50.1634,1.4056
2861_4,178.9164,1.4556,24.1124,1.1667,50.1181,1.3444
2861_5,180.0941,1.3639,27.8143,1.4694,50.5117,1.25
2865_1,185.3206,1.9944,35.0515,2.025,36.1369,1.8833
2865_2,185.3634,1.8611,33.0905,1.8917,37.1022,1.75
2865_3,186.1605,1.6806,34.0889,1.7111,36.8509,1.5694
2865_4,185.263,1.8444,34.2755,1.875,36.9864,1.7333
2865_5,184.5613,1.5528,34.1524,1.5833,37.4324,1.4389
2882_1,191.5387,1.4417,21.8942,1.5444,32.0688,1.3444
2882_2,188.7312,1.3472,20.3365,1.4611,31.1357,1.2472
2882_4,189.2595,1.5583,22.9539,1.6722,30.914,1.4556
2882_5,188.2508,1.45,28.3016,1.5639,30.6357,1.35
